"Id","business_id","name","address","city","state","postal_code","latitude","longitude","phone_number",""
"7716","","Enjoy Vegetarian Restaurant","754 Kirkham St","San Francisco","94122","CA","37.760272","-122.4691774","4156820826","http://www.yelp.com/biz/enjoy-vegetarian-restaurant-san-francisco-3"
"7717","","Roxie's Market & Deli","500 Kirkham St","San Francisco","94122","CA","37.7604384","-122.4662132","4157310982","http://www.yelp.com/biz/roxies-market-and-deli-san-francisco"
"7718","","Arizmendi Bakery","1331 9th Ave","San Francisco","94122","CA","37.76342","-122.4664257","4155663117","http://www.yelp.com/biz/arizmendi-bakery-san-francisco"
"7719","","Curry Village","1386 9th Ave","San Francisco","94122","CA","37.762469","-122.465914","4157312388","http://www.yelp.com/biz/curry-village-san-francisco"
"7720","","Nan King Road Bistro","1360 9th Ave","San Francisco","94122","CA","37.7629304","-122.4661412","4157532900","http://www.yelp.com/biz/nan-king-road-bistro-san-francisco"
"7721","","Masala Dosa","1375 9th Ave","San Francisco","94122","CA","37.7626543","-122.4663765","4155666976","http://www.yelp.com/biz/masala-dosa-san-francisco"
"7722","","Kitchen Kura","1525 Irving St","San Francisco","94122","CA","37.76353963063679","-122.474405765533","4157312054","http://www.yelp.com/biz/kitchen-kura-san-francisco"
"7723","","Jimisan Sushi Bistro","1380 9th Ave","San Francisco","94122","CA","37.7626166","-122.4661539","4155648989","http://www.yelp.com/biz/jimisan-sushi-bistro-san-francisco"
"7724","","M's Cafe","1376 9th Ave","San Francisco","94122","CA","37.7626562","-122.4661371","4156651821","http://www.yelp.com/biz/ms-cafe-san-francisco-2"
"7725","","Milano Pizzeria and Italian Restaurant","1330 9th Ave","San Francisco","94122","CA","37.7634663","-122.4661662","4156653773","http://www.yelp.com/biz/milano-pizzeria-and-italian-restaurant-san-francisco"
"7726","","Craw Station","1336 9th Ave","San Francisco","94122","CA","37.7633139","-122.4662391","4156829980","http://www.yelp.com/biz/craw-station-san-francisco"
"7727","","Cybelle's Front Room","1385 9th Ave","San Francisco","94122","CA","37.7624319","-122.4663412","4156658088","http://www.yelp.com/biz/cybelles-front-room-san-francisco"
"7728","","New Sandy's Cafe & Deli","1382 9th Ave","San Francisco","94122","CA","37.7625563","-122.466127","4156829683","http://www.yelp.com/biz/new-sandys-cafe-and-deli-san-francisco"
"7729","","Hing Wang Bakery","339 Judah St","San Francisco","94122","CA","37.7620626","-122.465828","4156813928","http://www.yelp.com/biz/hing-wang-bakery-san-francisco"
"7730","","Dash Cafe","420 Judah St","San Francisco","94122","CA","37.7622879","-122.466566","4156611237","http://www.yelp.com/biz/dash-cafe-san-francisco"
"7731","","Social Kitchen & Brewery","1326 9th Ave","San Francisco","94122","CA","37.763512","-122.466204","4156810330","http://www.yelp.com/biz/social-kitchen-and-brewery-san-francisco"
"7732","","Andy's Chinese Cuisine","1358 9th Ave","San Francisco","94122","CA","37.7630184","-122.4661622","4156611803","http://www.yelp.com/biz/andys-chinese-cuisine-san-francisco"
"7733","","Cheng's Kitchen","1382 9th Ave","San Francisco","94122","CA","37.7625563","-122.466127","4155668222","http://www.yelp.com/biz/chengs-kitchen-san-francisco"
"7734","","Sunny Vibrations Vegan Food Truck","20th St and Dolores St","San Francisco","94114","CA","37.7582204","-122.4258664","","http://www.yelp.com/biz/sunny-vibrations-vegan-food-truck-san-francisco-2"
"7735","","Sausage Party!","Mission Dolores Park","San Francisco","94114","CA","37.7597555973496","-122.426962852478","","http://www.yelp.com/biz/sausage-party-san-francisco"
"7736","","Gumbo Cart","19th & Dolores","San Francisco","94110","CA","37.7598312","-122.4258747","","http://www.yelp.com/biz/gumbo-cart-san-francisco"
"7737","","Samovar Tea Lounge","498 Sanchez St","San Francisco","94114","CA","37.761238","-122.4307347","4156264700","http://www.yelp.com/biz/samovar-tea-lounge-san-francisco"
"7738","","Urban Bread","3901 18th St","San Francisco","94114","CA","37.7610473","-122.4307125","4155528378","http://www.yelp.com/biz/urban-bread-san-francisco"
"7739","","CervecerÃ­a de Mateveza","3801 18th St","San Francisco","94114","CA","37.7612891","-122.4283707","","http://www.yelp.com/biz/cervecer%C3%ADa-de-mateveza-san-francisco-2"
"7740","","Anchor Oyster Bar","579 Castro St","San Francisco","94114","CA","37.759578536180996","-122.43472089180999","4154313990","http://www.yelp.com/biz/anchor-oyster-bar-san-francisco"
"7741","","Kasa Indian Eatery","4001 18th St","San Francisco","94114","CA","37.7609087","-122.4329552","4156216940","http://www.yelp.com/biz/kasa-indian-eatery-san-francisco"
"7742","","Due Drop In","489 Church St","San Francisco","94114","CA","37.7631348","-122.4284147","4156263767","http://www.yelp.com/biz/due-drop-in-san-francisco"
"7743","","Frances","3870 17th St","San Francisco","94114","CA","37.7627649","-122.4322181","4156213870","http://www.yelp.com/biz/frances-san-francisco"
"7744","","Zadin","4039 18th St","San Francisco","94114","CA","37.7609005","-122.4336937","4156262260","http://www.yelp.com/biz/zadin-san-francisco"
"7745","","Castro Tarts","564 Castro St","San Francisco","94114","CA","37.7598931","-122.4348897","4158613268","http://www.yelp.com/biz/castro-tarts-san-francisco"
"7746","","Lumpia Cart","Dolores at 18th St","San Francisco","94110","CA","37.7614356","-122.426012","","http://www.yelp.com/biz/lumpia-cart-san-francisco"
"7747","","Fable","558 Castro St","San Francisco","94114","CA","37.7600032","-122.434921","4155902404","http://www.yelp.com/biz/fable-san-francisco"
"7748","","Eiji","317 Sanchez St","San Francisco","94114","CA","37.7640516080292","-122.430717322638","4155588149","http://www.yelp.com/biz/eiji-san-francisco"
"7749","","Eureka Restaurant & Lounge","4063 18th St","San Francisco","94114","CA","37.760864","-122.4342159","4154316000","http://www.yelp.com/biz/eureka-restaurant-and-lounge-san-francisco"
"7750","","Super Duper Burgers","2304 Market St","San Francisco","94114","CA","37.7639968","-122.433679","4155588123","http://www.yelp.com/biz/super-duper-burgers-san-francisco-4"
"7751","","Bisou","2367 Market St","San Francisco","94114","CA","37.762839","-122.434352","4155566200","http://www.yelp.com/biz/bisou-san-francisco"
"7752","","Morning Due Cafe","3698 17th St","San Francisco","94114","CA","37.7630167","-122.4284096","4156217156","http://www.yelp.com/biz/morning-due-cafe-san-francisco"
"7753","","Poesia","4072 18th St","San Francisco","94114","CA","37.761156","-122.434317","4152529325","http://www.yelp.com/biz/poesia-san-francisco"
"7754","","House Of Chen","335 Noe St","San Francisco","94114","CA","37.7635767","-122.4329039","4158616868","http://www.yelp.com/biz/house-of-chen-san-francisco"
"7755","","Nizario's Pizza","4077 18th St","San Francisco","94114","CA","37.7608481","-122.4344481","4154870777","http://www.yelp.com/biz/nizarios-pizza-san-francisco"
"7756","","Starbelly","3583 16th St","San Francisco","94114","CA","37.764196421676004","-122.43258136227","4152527500","http://www.yelp.com/biz/starbelly-san-francisco"
"7757","","La Fajita Grill","2312 Market St","San Francisco","94114","CA","37.7637216","-122.4337531","4157962818","http://www.yelp.com/biz/la-fajita-grill-san-francisco"
"7758","","Namu Gaji","499 Dolores St","San Francisco","94110","CA","37.7615254406853","-122.425812967434","4154316268","http://www.yelp.com/biz/namu-gaji-san-francisco"
"7759","","Squat and Gobble Cafe & Crepery","3600 16th St","San Francisco","94114","CA","37.7642284","-122.4331988","4155522125","http://www.yelp.com/biz/squat-and-gobble-cafe-and-crepery-san-francisco-4"
"7760","","Catch","2362 Market St","San Francisco","94114","CA","37.763428","-122.434638","4154315000","http://www.yelp.com/biz/catch-san-francisco"
"7761","","The Sausage Factory","517 Castro St","San Francisco","94114","CA","37.7605284","-122.4348556","4156261250","http://www.yelp.com/biz/the-sausage-factory-san-francisco"
"7762","","Escape From New York Pizza","508 Castro St","San Francisco","94114","CA","37.7606637","-122.4349695","4152521515","http://www.yelp.com/biz/escape-from-new-york-pizza-san-francisco-2"
"7763","","Cove On Castro Cafe","434 Castro St","San Francisco","94114","CA","37.7620126","-122.4351033","4156260462","http://www.yelp.com/biz/cove-on-castro-cafe-san-francisco"
"7764","","Dolores Park Cafe","501 Dolores St","San Francisco","94110","CA","37.7613089292578","-122.425828278065","4156212936","http://www.yelp.com/biz/dolores-park-cafe-san-francisco"
"7765","","Cafe Mystique","464 Castro St","San Francisco","94114","CA","37.7615049","-122.4350474","4158659963","http://www.yelp.com/biz/cafe-mystique-san-francisco"
"7766","","Namu Gaji Street Food Lunch","499 Dolores St","San Francisco","94110","CA","37.76154","-122.425989","4154316268","http://www.yelp.com/biz/namu-gaji-street-food-lunch-san-francisco"
"7767","","Orphan Andy's","3991 17th St","San Francisco","94114","CA","37.7624668","-122.4348891","4158649795","http://www.yelp.com/biz/orphan-andys-san-francisco"
"7768","","Wasabi Bistro","524 Castro St","San Francisco","94114","CA","37.7604165","-122.43513","4157010082","http://www.yelp.com/biz/wasabi-bistro-san-francisco"
"7769","","Param","2367 Market St","San Francisco","94114","CA","37.7629977","-122.4342111","4155566200","http://www.yelp.com/biz/param-san-francisco"
"7770","","SF Grill Castro","2301 Market St","San Francisco","94114","CA","37.7637526","-122.4332821","4155525509","http://www.yelp.com/biz/sf-grill-castro-san-francisco"
